:ID(Body-ID),bodyId:long,pre:int,post:int,status:string,statusLabel:string,cropped:boolean,instance:string,type:string,primaryNeurite:string,somaLocation:point{srid:9157},somaRadius:float,size:long,roiInfo:string,:LABEL,alpha1:boolean,alpha2:boolean,alpha3:boolean
51643,51643,58,89,Traced,Roughly traced,,KC-any,KC-any,,,,17964528,"{""alpha3"": {""pre"": 28, ""post"": 43}, ""alpha2"": {""pre"": 22, ""post"": 32}, ""alpha1"": {""pre"": 8, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
260949,260949,63,74,Traced,Roughly traced,,KC-any,KC-any,,,,21425124,"{""alpha3"": {""pre"": 32, ""post"": 41}, ""alpha2"": {""pre"": 23, ""post"": 22}, ""alpha1"": {""pre"": 8, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
155279,155279,45,63,Traced,Roughly traced,,KC-c,KC-c,,,,14632661,"{""alpha3"": {""pre"": 29, ""post"": 39}, ""alpha2"": {""pre"": 10, ""post"": 16}, ""alpha1"": {""pre"": 6, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
4297260,4297260,46,67,Traced,Roughly traced,,KC-c,KC-c,,,,14592383,"{""alpha3"": {""pre"": 33, ""post"": 44}, ""alpha2"": {""pre"": 11, ""post"": 15}, ""alpha1"": {""pre"": 2, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
54977,54977,0,13713,Traced,Traced,false,MBON-14-A,MBON-14,,,,384086534,"{""alpha3"": {""post"": 13542}, ""alpha2"": {""post"": 171}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,true,true
56125,56125,0,1,,,,,,,,,1196,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
1112226,1112226,42,67,Traced,Roughly traced,,KC-c,KC-c,,,,14395961,"{""alpha3"": {""pre"": 25, ""post"": 34}, ""alpha2"": {""pre"": 14, ""post"": 24}, ""alpha1"": {""pre"": 3, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
4286865,4286865,53,81,Traced,Roughly traced,,KC-any,KC-any,,,,18690172,"{""alpha3"": {""pre"": 28, ""post"": 38}, ""alpha2"": {""pre"": 19, ""post"": 35}, ""alpha1"": {""pre"": 6, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
2236953,2236953,63,88,Traced,Roughly traced,,KC-s,KC-s,,,,20223221,"{""alpha3"": {""pre"": 35, ""post"": 50}, ""alpha2"": {""pre"": 21, ""post"": 26}, ""alpha1"": {""pre"": 7, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
224409,224409,51,75,Traced,Roughly traced,,KC-s,KC-s,,,,20240792,"{""alpha3"": {""pre"": 29, ""post"": 42}, ""alpha2"": {""pre"": 16, ""post"": 25}, ""alpha1"": {""pre"": 6, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
296611,296611,0,1,,,,,,,,,2121,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
120853,120853,65,86,Traced,Roughly traced,,KC-any,KC-any,,,,19895802,"{""alpha3"": {""pre"": 36, ""post"": 48}, ""alpha2"": {""pre"": 20, ""post"": 23}, ""alpha1"": {""pre"": 9, ""post"": 15}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
723449,723449,51,76,Traced,Roughly traced,,KC-c,KC-c,,,,13892600,"{""alpha3"": {""pre"": 28, ""post"": 43}, ""alpha2"": {""pre"": 13, ""post"": 22}, ""alpha1"": {""pre"": 10, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
7768211,7768211,65,78,Traced,Roughly traced,,KC-c,KC-c,,,,20070483,"{""alpha3"": {""pre"": 32, ""post"": 34}, ""alpha2"": {""pre"": 23, ""post"": 33}, ""alpha1"": {""pre"": 10, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
290115,290115,65,97,Traced,Roughly traced,,KC-s,KC-s,,,,24824050,"{""alpha3"": {""pre"": 41, ""post"": 54}, ""alpha2"": {""pre"": 14, ""post"": 26}, ""alpha1"": {""pre"": 10, ""post"": 17}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
910572,910572,65,85,Traced,Roughly traced,,KC-s,KC-s,,,,26635469,"{""alpha3"": {""pre"": 40, ""post"": 55}, ""alpha2"": {""pre"": 16, ""post"": 23}, ""alpha1"": {""pre"": 9, ""post"": 7}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
304102,304102,62,89,Traced,Roughly traced,,KC-any,KC-any,,,,24513509,"{""alpha3"": {""pre"": 30, ""post"": 45}, ""alpha2"": {""pre"": 23, ""post"": 27}, ""alpha1"": {""pre"": 9, ""post"": 17}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
80775,80775,78,98,Traced,Roughly traced,,KC-s,KC-s,,,,28241561,"{""alpha3"": {""pre"": 45, ""post"": 66}, ""alpha2"": {""pre"": 23, ""post"": 19}, ""alpha1"": {""pre"": 10, ""post"": 13}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
7364620,7364620,44,64,Traced,Roughly traced,,KC-c,KC-c,,,,11796106,"{""alpha3"": {""pre"": 27, ""post"": 37}, ""alpha2"": {""pre"": 11, ""post"": 17}, ""alpha1"": {""pre"": 6, ""post"": 10}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
293135,293135,45,66,Traced,Roughly traced,,KC-c,KC-c,,,,15761857,"{""alpha3"": {""pre"": 22, ""post"": 38}, ""alpha2"": {""pre"": 14, ""post"": 13}, ""alpha1"": {""pre"": 9, ""post"": 15}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
6358979,6358979,55,73,Traced,Roughly traced,,KC-c,KC-c,,,,13846754,"{""alpha3"": {""pre"": 31, ""post"": 44}, ""alpha2"": {""pre"": 19, ""post"": 23}, ""alpha1"": {""pre"": 5, ""post"": 6}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
513414,513414,1026,6365,Traced,Roughly traced,,MB-DPM,MB-DPM,,,,784067657,"{""alpha3"": {""pre"": 527, ""post"": 3347}, ""alpha2"": {""pre"": 395, ""post"": 2416}, ""alpha1"": {""pre"": 100, ""post"": 578}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
20132,20132,59,75,Traced,Roughly traced,,KC-s,KC-s,,,,20894787,"{""alpha3"": {""pre"": 32, ""post"": 36}, ""alpha2"": {""pre"": 19, ""post"": 28}, ""alpha1"": {""pre"": 8, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
7652998,7652998,74,95,Traced,Roughly traced,,KC-s,KC-s,,,,23699453,"{""alpha3"": {""pre"": 42, ""post"": 60}, ""alpha2"": {""pre"": 21, ""post"": 24}, ""alpha1"": {""pre"": 11, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
2264721,2264721,77,103,Traced,Roughly traced,,KC-s,KC-s,,,,31137585,"{""alpha3"": {""pre"": 47, ""post"": 63}, ""alpha2"": {""pre"": 23, ""post"": 32}, ""alpha1"": {""pre"": 7, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
290535,290535,58,75,Traced,Roughly traced,,KC-s,KC-s,,,,20193831,"{""alpha3"": {""pre"": 27, ""post"": 37}, ""alpha2"": {""pre"": 21, ""post"": 24}, ""alpha1"": {""pre"": 10, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
289947,289947,0,2,,,,,,,,,3289,"{""alpha3"": {""post"": 2}}",Segment;mushroombody_Segment,,,true
289772,289772,0,1,,,,,,,,,3268,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
2611899,2611899,67,97,Traced,Roughly traced,,KC-s,KC-s,,,,30657695,"{""alpha3"": {""pre"": 44, ""post"": 65}, ""alpha2"": {""pre"": 17, ""post"": 18}, ""alpha1"": {""pre"": 6, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
4180620,4180620,58,72,Traced,Roughly traced,,KC-s,KC-s,,,,22442650,"{""alpha3"": {""pre"": 30, ""post"": 37}, ""alpha2"": {""pre"": 15, ""post"": 19}, ""alpha1"": {""pre"": 13, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
1858841,1858841,85,106,Traced,Roughly traced,,KC-s,KC-s,,,,36942714,"{""alpha3"": {""pre"": 54, ""post"": 59}, ""alpha2"": {""pre"": 26, ""post"": 38}, ""alpha1"": {""pre"": 5, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
954925,954925,65,100,Traced,Roughly traced,,KC-s,KC-s,,,,21342150,"{""alpha3"": {""pre"": 37, ""post"": 56}, ""alpha2"": {""pre"": 21, ""post"": 28}, ""alpha1"": {""pre"": 7, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
17160224,17160224,0,1,,,,,,,,,142895108,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
19129,19129,51,82,Traced,Roughly traced,,KC-any,KC-any,,,,15911987,"{""alpha3"": {""pre"": 27, ""post"": 49}, ""alpha2"": {""pre"": 20, ""post"": 22}, ""alpha1"": {""pre"": 4, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
1047338,1047338,65,93,Traced,Roughly traced,,KC-s,KC-s,,,,22445653,"{""alpha3"": {""pre"": 36, ""post"": 47}, ""alpha2"": {""pre"": 23, ""post"": 33}, ""alpha1"": {""pre"": 6, ""post"": 13}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
113303,113303,58,66,Traced,Roughly traced,,KC-s,KC-s,,,,21256345,"{""alpha3"": {""pre"": 32, ""post"": 38}, ""alpha2"": {""pre"": 18, ""post"": 16}, ""alpha1"": {""pre"": 8, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
10644035,10644035,55,83,Traced,Roughly traced,,KC-c,KC-c,,,,13874810,"{""alpha3"": {""pre"": 31, ""post"": 44}, ""alpha2"": {""pre"": 20, ""post"": 31}, ""alpha1"": {""pre"": 4, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
42472,42472,67,88,Traced,Roughly traced,,KC-s,KC-s,,,,28787640,"{""alpha3"": {""pre"": 36, ""post"": 47}, ""alpha2"": {""pre"": 20, ""post"": 24}, ""alpha1"": {""pre"": 11, ""post"": 17}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
108155,108155,0,3,Orphan,Orphan,,Others-orphan,,,,,45942,"{""alpha3"": {""post"": 3}}",Segment;mushroombody_Segment,,,true
772282,772282,40,60,Traced,Roughly traced,,KC-c,KC-c,,,,13729992,"{""alpha3"": {""pre"": 18, ""post"": 26}, ""alpha2"": {""pre"": 12, ""post"": 17}, ""alpha1"": {""pre"": 10, ""post"": 17}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
7564799,7564799,49,64,Traced,Roughly traced,,KC-c,KC-c,,,,15258972,"{""alpha3"": {""pre"": 26, ""post"": 33}, ""alpha2"": {""pre"": 16, ""post"": 23}, ""alpha1"": {""pre"": 7, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
67453,67453,0,1,,,,,,,,,1997,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
4265027,4265027,77,96,Traced,Roughly traced,,KC-s,KC-s,,,,30194098,"{""alpha3"": {""pre"": 39, ""post"": 58}, ""alpha2"": {""pre"": 26, ""post"": 25}, ""alpha1"": {""pre"": 12, ""post"": 13}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
53277,53277,0,18,Orphan,Orphan,,Others-orphan,,,,,167138,"{""alpha3"": {""post"": 18}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,,true
14902,14902,59,75,Traced,Roughly traced,,KC-s,KC-s,,,,21799571,"{""alpha3"": {""pre"": 35, ""post"": 41}, ""alpha2"": {""pre"": 19, ""post"": 20}, ""alpha1"": {""pre"": 5, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
18498,18498,48,77,Traced,Roughly traced,,KC-c,KC-c,,,,17142650,"{""alpha3"": {""pre"": 25, ""post"": 44}, ""alpha2"": {""pre"": 14, ""post"": 19}, ""alpha1"": {""pre"": 9, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
136971,136971,44,62,Traced,Roughly traced,,KC-c,KC-c,,,,16315381,"{""alpha3"": {""pre"": 25, ""post"": 38}, ""alpha2"": {""pre"": 12, ""post"": 13}, ""alpha1"": {""pre"": 7, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
158781,158781,32,56,Traced,Roughly traced,,KC-c,KC-c,,,,11503142,"{""alpha3"": {""pre"": 16, ""post"": 30}, ""alpha2"": {""pre"": 11, ""post"": 14}, ""alpha1"": {""pre"": 5, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
56231,56231,52,79,Traced,Roughly traced,,KC-c,KC-c,,,,16878328,"{""alpha3"": {""pre"": 27, ""post"": 38}, ""alpha2"": {""pre"": 19, ""post"": 33}, ""alpha1"": {""pre"": 6, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
113776,113776,1,0,,,,,,,,,1239,"{""alpha3"": {""pre"": 1}}",Segment;mushroombody_Segment,,,true
8500165,8500165,52,75,Traced,Roughly traced,,KC-c,KC-c,,,,15479718,"{""alpha3"": {""pre"": 31, ""post"": 50}, ""alpha2"": {""pre"": 15, ""post"": 17}, ""alpha1"": {""pre"": 6, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
4289142,4289142,43,65,Traced,Roughly traced,,KC-c,KC-c,,,,15277140,"{""alpha3"": {""pre"": 22, ""post"": 35}, ""alpha2"": {""pre"": 13, ""post"": 13}, ""alpha1"": {""pre"": 8, ""post"": 17}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
65620,65620,47,88,Traced,Roughly traced,,KC-c,KC-c,,,,17679500,"{""alpha3"": {""pre"": 22, ""post"": 50}, ""alpha2"": {""pre"": 19, ""post"": 27}, ""alpha1"": {""pre"": 6, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
112222,112222,44,63,Traced,Roughly traced,,KC-c,KC-c,,,,17338916,"{""alpha3"": {""pre"": 25, ""post"": 34}, ""alpha2"": {""pre"": 14, ""post"": 20}, ""alpha1"": {""pre"": 5, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
111892,111892,53,83,Traced,Roughly traced,,KC-c,KC-c,,,,19989225,"{""alpha3"": {""pre"": 37, ""post"": 59}, ""alpha2"": {""pre"": 13, ""post"": 15}, ""alpha1"": {""pre"": 3, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
717446,717446,42,55,Traced,Roughly traced,,KC-c,KC-c,,,,14098302,"{""alpha3"": {""pre"": 22, ""post"": 26}, ""alpha2"": {""pre"": 11, ""post"": 15}, ""alpha1"": {""pre"": 9, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
149390,149390,52,65,Traced,Roughly traced,,KC-c,KC-c,,,,17915686,"{""alpha3"": {""pre"": 29, ""post"": 38}, ""alpha2"": {""pre"": 15, ""post"": 16}, ""alpha1"": {""pre"": 8, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
6406714,6406714,48,96,Traced,Roughly traced,,KC-c,KC-c,,,,15282662,"{""alpha3"": {""pre"": 26, ""post"": 75}, ""alpha2"": {""pre"": 11, ""post"": 11}, ""alpha1"": {""pre"": 11, ""post"": 10}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
200001836,200001836,1,0,,,,,,,,,30562,"{""alpha3"": {""pre"": 1}}",Segment;mushroombody_Segment,,,true
303604,303604,53,64,Traced,Roughly traced,,KC-c,KC-c,,,,15157733,"{""alpha3"": {""pre"": 26, ""post"": 32}, ""alpha2"": {""pre"": 17, ""post"": 21}, ""alpha1"": {""pre"": 10, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
113658,113658,49,89,Traced,Roughly traced,,KC-any,KC-any,,,,21671356,"{""alpha3"": {""pre"": 22, ""post"": 45}, ""alpha2"": {""pre"": 19, ""post"": 28}, ""alpha1"": {""pre"": 8, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
1161384,1161384,58,84,Traced,Roughly traced,,KC-c,KC-c,,,,18809119,"{""alpha3"": {""pre"": 36, ""post"": 49}, ""alpha2"": {""pre"": 11, ""post"": 19}, ""alpha1"": {""pre"": 11, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
66473,66473,47,61,Traced,Roughly traced,,KC-c,KC-c,,,,16991351,"{""alpha3"": {""pre"": 23, ""post"": 31}, ""alpha2"": {""pre"": 11, ""post"": 14}, ""alpha1"": {""pre"": 13, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
65823,65823,0,1,,,,,,,,,396,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
6385162,6385162,40,56,Traced,Roughly traced,,KC-c,KC-c,,,,12613787,"{""alpha3"": {""pre"": 20, ""post"": 32}, ""alpha2"": {""pre"": 11, ""post"": 11}, ""alpha1"": {""pre"": 9, ""post"": 13}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
312076,312076,45,78,Traced,Roughly traced,,KC-c,KC-c,,,,14501452,"{""alpha3"": {""pre"": 23, ""post"": 41}, ""alpha2"": {""pre"": 15, ""post"": 26}, ""alpha1"": {""pre"": 7, ""post"": 11}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
1160145,1160145,51,71,Traced,Roughly traced,,KC-c,KC-c,,,,16427497,"{""alpha3"": {""pre"": 24, ""post"": 36}, ""alpha2"": {""pre"": 12, ""post"": 18}, ""alpha1"": {""pre"": 15, ""post"": 17}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
13163328,13163328,37,58,Traced,Roughly traced,,KC-c,KC-c,,,,12057154,"{""alpha3"": {""pre"": 17, ""post"": 30}, ""alpha2"": {""pre"": 13, ""post"": 16}, ""alpha1"": {""pre"": 7, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
116656,116656,51,68,Traced,Roughly traced,,KC-c,KC-c,,,,17372936,"{""alpha3"": {""pre"": 30, ""post"": 42}, ""alpha2"": {""pre"": 15, ""post"": 20}, ""alpha1"": {""pre"": 6, ""post"": 6}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
1103187,1103187,46,62,Traced,Roughly traced,,KC-c,KC-c,,,,16492894,"{""alpha3"": {""pre"": 22, ""post"": 31}, ""alpha2"": {""pre"": 12, ""post"": 17}, ""alpha1"": {""pre"": 12, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
749441,749441,54,81,Traced,Roughly traced,,KC-c,KC-c,,,,18474773,"{""alpha3"": {""pre"": 33, ""post"": 45}, ""alpha2"": {""pre"": 18, ""post"": 27}, ""alpha1"": {""pre"": 3, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
752139,752139,50,75,Traced,Roughly traced,,KC-c,KC-c,,,,17525005,"{""alpha3"": {""pre"": 26, ""post"": 36}, ""alpha2"": {""pre"": 17, ""post"": 26}, ""alpha1"": {""pre"": 7, ""post"": 13}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
150878,150878,50,87,Traced,Roughly traced,,KC-c,KC-c,,,,15252865,"{""alpha3"": {""pre"": 24, ""post"": 38}, ""alpha2"": {""pre"": 15, ""post"": 23}, ""alpha1"": {""pre"": 11, ""post"": 26}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
