project_id:ID(Project),acronym,title,status
101039421,PRIMAZINC,Deciphering the role of C2H2 zinc finger transcription factors during primate neocortex development and evolution,SIGNED
101039426,B-WEX,Balancing clean Water and Energy provision under changing climate and eXtremes,SIGNED
101039429,IMAGINE adaptation,IMAGINE climate change adaptation in urban areas,SIGNED
101039433,KNOW-THYSELF,Increasing Self-Knowledge to Promote Moral Behavior,SIGNED
101039436,A-B-C-Deep,Algorithmic Bias Control in Deep learning,SIGNED
101039438,NEXUS,Network Synergies in Tissue Homeostasis and Stromal Prevention of Inflammatory Disease.,SIGNED
101039446,ARCVIR,Archaeal Virology: unravelling the mechanisms of interviral warfare,SIGNED
101039447,INTERMAPS,Mapping intersectionality: a conceptual and methodological model for the study of inequalities and discriminations,SIGNED
101039452,WANDA,Winds ANd Disk structures near and Afar,SIGNED
101039455,SEGUE,Urban Economic SEGregation: integrating explanatory mechanisms across geographical scales to compare remediatory policies in silico,SIGNED
101039467,CoDe4Bio,COmputational DEsign for 4D BIOfabrication: harnessing programmable materials for dynamic pre-clinical cancer models,SIGNED
101039481,ALPS,AI-based Learning for Physical Simulation,SIGNED
101039493,HEROINE,Hormone-microbiome interactions as a key-player in female health,SIGNED
101039500,TITAN,Tailoring Quantum Matter on the Flatland,SIGNED
101039501,FrogWY,Evolutionary Genomics of Unconventional Sex Chromosomes in Frogs,SIGNED
101039522,QUDITS,Quantum Information Processing in High-Dimensional Ion Trap Systems,SIGNED
101039524,TIME,It's about time: Towards a dynamic account of natural vision.,SIGNED
101039531,SyncyNucDiff,The biology of syncytial cells:  Dissecting the mechanisms and functions of nuclear differentiation inside skeletal muscle syncytium,SIGNED
101039532,GLOBCOADEV,The global impact of coastal water contamination on economic development,SIGNED
101039538,DELV,DELta Virus infection in animal and human hosts,SIGNED
101039541,HoloE2Plant,Exploring the Holobiont concept through a Plant Evolutionary Experiment study,SIGNED
101039545,DECYCLE,Towards a circular degrowth economy: Explaining the material valorization regime of city-regions,SIGNED
101039556,SecMessFunctions,"Revealing second messenger functions in bacterial stress response,  cell differentiation and natural product biosynthesis",SIGNED
101039567,ForExD,Forest vulnerability to compound extremes and disturbances in a changing climate,SIGNED
101039572,ARITHMETIC,"German Arithmetical Treatises in Manuscripts of the Late Middle Ages (1400-1522). A Study on Philology, History and Culture based on a Digital Edition of the Treatises.",SIGNED
101039576,POSEIDON,Unconventional principles of underwater wave control in the sub-wavelength regime,SIGNED
101039578,PROTOMAT,Integrating non-living and living matter via protocellular materials (PCMs) design and synthetic construction,SIGNED
101039583,MICROECO,Microbial ecosystems biology in the human gut,SIGNED
101039588,PRIMETIME,Rhizosphere priming: Quantifying plant impacts on carbon dioxide emissions from a warming Arctic,SIGNED
101039592,PhotoLanZyme,Artificial Lanthanide Enzymes for Selective Photocatalysis:  'Enlightening' Metalloenzyme Design and Evolution,SIGNED
101039636,Pb-FREE,"Piezoelectric Biomolecules for lead-free, Reliable,  Eco-Friendly Electronics",SIGNED
101039641,DIGIPORTS,"Digitalized Ports, Racialized Labor: Shifting Infrastructures for Work in Container Shipping",SIGNED
101039648,TransLitigate,The Agency of Transnational Strategic Litigators in Global Governance,SIGNED
101039651,DiscEvol,Rebuilding the foundations of planet formation: proto-planetary disc evolution,SIGNED
101039655,ExpPov,The Experience of Poverty in the Post-Industrial Economy,SIGNED
101039657,CARDIOTRIALS,Using CARDIac simulations to run in-silicO clinical TRIALS,SIGNED
101039672,TEMPO,Solving the 'time puzzle' of epigenetic effects on child mental health,SIGNED
101039676,DYNASTY,Dynamics-Aware Theory of Deep Learning,SIGNED
101039683,PROMETHEUS,Engineering of Superfluorescent Nanocrystal Solids,SIGNED
101039692,GENERALIZATION,Modern Challenges in Learning Theory,SIGNED
101039706,MOBY-FLY,Circuit mechanisms of behavioural variability in Drosophila flight.,SIGNED
101039711,PEOPLE,PalaeoEcology and OPen-LandscapE adaptations of Pleistocene humans in South Africa,SIGNED
101039712,COREDIM,Uncovering the core dimensions of visual object representations,SIGNED
101039716,MYCO-SoilC,Mycorrhizal Types and Soil Carbon Storage:  A mechanistic theory of fungal mediated soil organic matter cycling in temperate forests,SIGNED
101039734,MemoPlasticGenomics,Epigenetic and transcriptional basis of memory engram plasticity,SIGNED
101039746,WEPOF,Watching Excitons in Photoactive Organic Frameworks,SIGNED
101039748,ELECTROCOFS,Molecular Design of Electrically Conductive Covalent Organic Frameworks as Efficient Electrodes for Lithium-Ion Batteries,SIGNED
101039754,CHIROTRONICS,Controlling chirality in atomically thin quantum electronic materials,SIGNED
101039756,X-HEP,Exotic High Energy Phenomenology,SIGNED
101039758,DigID,DigID - Doing Digital Identities,SIGNED
101039760,ChloroMosaic,Environmentally-informed functional characterisation of the secondary red chloroplast proteome,SIGNED
101039762,HamDyWWa,"Hamiltonian Dynamics, Normal Forms and Water Waves",SIGNED
101039764,NeuFRO,Inducing functionality in retinal organoids with electrical activities derived from developing retina,SIGNED
101039777,ABSTRACTION,"Abstraction. Unlocking meaning from experience, through language.",SIGNED
101039782,Dreamscape,The Electrophysiological Landscape of Dreams,SIGNED
101039794,CHORAL,Computational Hardness Of RepresentAtion Learning,SIGNED
101039795,SPACETWIN,Digital twins for understanding forest disturbances and recovery from space,SIGNED
101039802,SMADBINS,Smart Dust Batteries Integrated with Near-Zero-Power Surveillance,SIGNED
101039804,ESIP-RM,Efficient & Selective Ion Pumps based on Ratchet Mechanisms,SIGNED
101039805,LIVE-AR,The subsequent lives of Arab revolutionaries,SIGNED
101039824,R-ELEVATION,Unravelling novel mechanisms of defense gene activation: a gateway to elevate disease resistance in plants,SIGNED
101039827,HIGH-HOPeS,Higher-Order Hodge Laplacians for Processing of multi-way Signals,SIGNED
101039841,DEBUGGING-LPS,Deciphering and Exploiting the chemical features of Silent Lipopolysaccharides: a gift from gut microbiota,SIGNED
101039843,CHIMERA,The sympatric lifestyle of giant viruses: contact tracing and fitness through mobile genetic elements,SIGNED
101039844,ORIGIN,Resolving magnetic ORIGINs of the hot solar atmosphere,SIGNED
101039854,TRACE-it,Controlling particle flow driven by local concentration gradients in geological porous media,SIGNED
101039862,VenomEvolvability,Lacewing venom: Linking the molecular and phenotypic evolution of adaptive traits,SIGNED
101039864,ECura,Everyone's a Curator: Digitally Empowering Ethnic Minority Music Sustainability in China,SIGNED
101039890,ELECTRA,ELEctrically ConTRolled magnetic Anisotropy,SIGNED
101039904,EXILED-EMPIRICISTS,Exiled Empiricists:  American Philosophy and the Great Intellectual Migration,SIGNED
101039913,PARAPATH,Parameterized Complexity Through the Lens of Path Problems,SIGNED
101039914,CODY,The Complexity of Dynamic Matrix Problems,SIGNED
101039920,AFREXTRACT,Environmental Histories of Resource Extraction in Africa: Understanding Cultural and Political Responses to Environmental Transformation,SIGNED
101039927,GCMech,Determining the mechanisms behind goblet cell dysfunction,SIGNED
101039928,EnhanceSex,Deciphering Gene Regulatory Networks governing Mammalian Sex Determination,SIGNED
101039945,PhotoTherEpi,Targeting epilepsy with phototherapeutics,SIGNED
101039953,INDIGO,Developing an inductive spectrometer for electron paramagnetic resonance detection and imaging at the micron scale using superconducting quantum circuits.,SIGNED
101039986,MottSwitch,Highly Energy-Efficient Resistive Switching in Defect- and Strain- Engineered Mott Insulators for Neuromorphic Computing Applications,SIGNED
101039994,MLCat,Multifunctional Ligands for Enhanced Catalysis,SIGNED
101039995,REGENECREST,Enhancing endogenous regenerative response in mammals by redeploying Cranial Neural Crest Cells pluripotency developmental programs and positional identity remodeling,SIGNED
101039998,UnderPressure,Elucidating the phenotypic convergence of proliferation reduction under growth-induced pressure,SIGNED
101040002,MANUNKIND,MANUNKIND: Determinants and Dynamics of Collaborative Exploitation,SIGNED
101040019,Light-Dark,Light Dark Matter: New Directions for Theory and Detection,SIGNED
101040020,DevCycle,Timing cell cycles in multicellular development,SIGNED
101040021,SMILE,Search for Milli-lenses to discriminate between dark matter models,SIGNED
101040023,MicroT,Microbiota-T cell interactions - antigen-specificity and regulation in health and disease,SIGNED
101040024,BHHQG,Black Hole Horizons in Quantum Gravity,SIGNED
101040025,SYNPHOCAT,Synthetic Bimodal Photoredox Catalysis:  Unlocking New Sustainable Light-Driven Reactivity,SIGNED
101040035,PRONANO,Programmable Nanomatter,SIGNED
101040037,PLANETOIDS,Formation of planetary building blocks throughout time and space,SIGNED
101040046,TrickE3,Chemical rewiring of E3 ubiquitin ligases as a generalizable therapeutic approach,SIGNED
101040049,STARTDIALOG,Towards a Systematic Theory of Aristotelian Diagrams in Logical Geometry,SIGNED
101040051,ENZYME-DCC,Enzyme-Mediated Dynamic Combinatorial Chemistry,SIGNED
101040057,2D-sandwich,"2D sandwiches, artificial layered building blocks for multifunctional materials",SIGNED
101040059,NoJoke,Humour as an epistemic practice of the political present,SIGNED
101040070,FARRIO,The Effects of Far-Right Challenges on International Organizations,SIGNED
101040088,UniversalContracts,"Formalizing, Verifying and Applying ISA Security Guarantees as Universal Contracts",SIGNED
101040117,INFOPASS,Information processing in passive elastic structures,SIGNED
101040122,IMD,Inequality-aware Market Design,SIGNED
101040128,2CE MECP2,Visualising neuronal signalling dynamics within intact neuronal circuits:  Deciphering the role of cell-specific MeCP2 dynamics in neuronal function and dysfunction,SIGNED
101040134,MANAGING PEOPLE,Managing People - How Employees' Social Preferences Shape the Returns to Management Practices,SIGNED
101040138,cofacTau,Cofactors at the core of tau prion behaviour,SIGNED
101040152,STONE-MASTERS,Masters of the stone: The stonecutters' workshops and the rise of the late antique epigraphical cultures (third-fifth century AD),SIGNED
101040153,IDOL,Inverse Design of Optoelectronic Phosphosulfides,SIGNED
101040160,LSP-MIST,A MISTery of Long Secondary Periods in Pulsating Red Giants - Traces of Exoplanets?,SIGNED
101040163,LOOPS,The Logistics of Popular Uprisings,SIGNED
101040164,NMER,Chirality-sensitive Nuclear Magnetoelectric Resonance,SIGNED
101040169,CMBeam,Transforming cryogenic optics for cosmic microwave background experiments,SIGNED
101040177,SAML,Society-Aware Machine Learning: The paradigm shift demanded by society to trust machine learning.,SIGNED
101040179,Q-CIRC,Superconducting qubits with 1 second coherence time using rotation codes,SIGNED
101040188,FuFri,Funding Frictions after the Global Financial Crisis,SIGNED
101040193,COSAS,Controlling Oxygen Selectivity at the Atomic Scale,SIGNED
101040197,QED-Spin,Controlling spin properties of molecules with quantum fields: ab-initio methodologies for spin polaritons,SIGNED
101040214,GUT-CHECK,Deciphering commensal-host-pathogen metabolic interactions to combat intestinal infections,SIGNED
101040227,WINGS,Winds in galaxies,SIGNED
101040238,BeyondRVE,Beyond Representative Volume Elements for Random Heterogeneous Materials,SIGNED
101040247,MENTALNET,Effects of mental disorders on the wellbeing and prosperity of family members and friends,SIGNED
101040254,MELTDYN,Understanding the melting dynamics in turbulent flows,SIGNED
101040260,QFT.zip,Compressing many-body quantum states in continuous space-time with tensor networks,SIGNED
101040267,GeneCKD,Deciphering the genetic basis of chronic kidney disease towards prevention and personalized therapy,SIGNED
101040270,CSAReps,Investigating Fictional Representations of Child Sexual Abuse in Contemporary Culture: Myths and Understanding,SIGNED
101040276,HearingHands,How Hands Help Us Hear,SIGNED
101040297,GOING VIRAL,Going Viral: Music and Emotions during Pandemics (1679-1919),SIGNED
101040302,LeviNeT,The German Network. Primo Levi's Correspondence with German Readers and Intellectuals,SIGNED
101040311,Mechano-Wolbachia,Uncovering the mechanisms of action of an antiviral bacterium,SIGNED
101040341,Genies,Gas-water-mineral interfaces in confined spaces: unravelling and upscaling coupled hydro-geochemical processes,SIGNED
101040353,ExploreFNP,Exploring the Molecular Properties of Atmospheric Freshly Nucleated Particles,SIGNED
101040355,NeuRoPROBE,Probing (Orphan) Nuclear Receptors in Neurodegeneration,SIGNED
101040356,ATTOP,ATTOsecond Photochemistry: controlling chemical reactions with electrons,SIGNED
101040374,Ethics of Loneliness,The Ethics of Loneliness and Sociability,SIGNED
101040376,LactIns-and-outs,Pioneering methods to unravel lactation insufficiency,SIGNED
101040378,MESO_AG,Mesoscale dissection of neuronal populations underlying cognition,SIGNED
101040379,SCRAMBLE,Turbulence-On-a-Chip: Supercritically Overcoming the Energy Frontier in Microfluidics,SIGNED
101040381,PGTI,Prompt Gamma Time Imaging: a new medical-imaging modality for adaptive Particle Therapy,SIGNED
101040383,NoOne,A binary sensor with single-molecule digit to discriminate biofluids enclosing zero or at least one biomarker,SIGNED
101040391,MEMOPROSTHETICS,Neuroprosthetic Modulation of Large-Scale Brain Networks for Treating Memory Disorders,SIGNED
101040394,CILCat,Nanocarbon-Ionic Liquid-Interfaces for Catalytic Activation of Nitrogen,SIGNED
101040409,TOPOGRAND,Non-Hermitian Topological Physics in Grand Canonical Photon Lattices,SIGNED
101040437,GLUTENOMICS,Tracking gluten immunoreactive peptides from the grain to the gut and beyond,SIGNED
101040439,REASONS F1RST,The Structure of Normativity,SIGNED
101040453,REVERT,REVERT  Regeneration as a Vulnerable State for Microbe-Driven Injury and Tumorigenesis,SIGNED
101040461,ForCry,"Analysing frozen Foraminifera by Cryostage LA-ICPMS: Neogene CO2, patterns, cycles, and climate sensitivity.",SIGNED
101040462,BeTASTy,New Molecular and Cell-based Approaches to assess Food Astringency and Bitterness,SIGNED
101040472,EVOCATION,Unravelling the Evolution of Complexes with Ancestral Sequence Reconstruction,SIGNED
101040474,VeNiss,Venice's Nissology. Reframing the Lagoon City as an Archipelago: A Model for Spatial and Temporal Urban Analysis (16th-21st centuries),SIGNED
101040475,ETRANHET,Energy Transitions in the History of Economic Thought (19th-20th c.),SIGNED
101040480,LACRIDO,Laser Activated Chemistry of Reactive Intermediates:  Direct Observation in the jet,SIGNED
101040492,FragMent,"Geographic environments, daily activities and stress: a study on the space-time fragmentation of exposure patterns",SIGNED
101040507,Artin-Out-ME-OA,"Artin groups, mapping class groups and Out(Fn): from geometry to operator algebras via measure equivalence",SIGNED
101040529,PECAN,Exploring the Prokaryotic-Eukaryotic Conservation of Antiviral immunity: from bacterial immune systems to novel antiviral drugs,SIGNED
101040534,CODEC,COgnitive Dynamics in Early Childhood,SIGNED
101040535,PEA,The Philosophy of Experiential Artifacts,SIGNED
101040547,HIGH-Q,Breaking resolution limits in ultrafast X-ray diffractive imaging,SIGNED
101040548,DynaDiff,Elucidating the interplay between nuclear compartments and transcriptional dynamics during differentiation,SIGNED
101040572,MIRRORS,Revolutionizing Mirror Technology to Discover the Dark Universe,SIGNED
101040588,URISAMP,Disease and vaccine monitoring based on non-invasive genital tract liquid biopsy sampling.,SIGNED
101040600,HYQUAKE,"Hydromechanical coupling in tectonic faults and the origin of aseismic slip, quasi-dynamic transients and earthquake rupture",SIGNED
101040624,ASC-Q,"Algorithms, Security and Complexity for Quantum Computers",SIGNED
101040625,DryCO2,Mechanisms of gas-driven mineral weathering in a changing climate,CLOSED
101040641,PIONEER,FROM SINGLE MOLECULES TO CELL REPROGRAMMING: DECIPHERING AND RECODING DISORDERED PIONEER TRANSCRIPTION  FACTORS,SIGNED
101040651,SuperCorr,"Understanding, Engineering, and Probing Correlated Many-Body Physics in Superlattices of Graphene and Beyond",SIGNED
101040660,DecodeSC,Decoding the Multi-facets of Cellular Identity from Single-cell Data,SIGNED
101040669,Interfaces at Work,Interface-sensitive Spectroscopy of Atomically-defined Solid/Liquid Interfaces Under Operating Conditions,SIGNED
101040681,SUPER,SUpramolecularly engineered functional  PERovskite quantum wells,SIGNED
101040682,IN-THE-KIDNEY,"Functional Measurements IN-THE-KIDNEY to Diagnose, Understand and Treat Renal Tubulopathies",SIGNED
101040688,2DDip,Two-dimensional Dipolar Quantum Gases: Fluctuations and Orders.,SIGNED
101040703,synERgy,Organization and function of the axonal Endoplasmic Reticulum,SIGNED
101040710,ALPaCA,AcceLerated PreCision Tests of Lepton UniversAlity,SIGNED
101040724,SuPerSilk,Melding behavioural ecology and biomaterials research to track the evolution of mechanical super-performance of spider silk composites,SIGNED
101040726,DECODE-DKD,Decoding diabetic kidney disease,SIGNED
101040729,FINE-TEA-SQUAD,FIrst NEar-TErm ApplicationS of QUAntum Devices,SIGNED
101040745,EvoMorphoCell,From cell shape to organism shape: the cellular basis for the evolutionary origin of animal morphogenesis,SIGNED
101040751,MW-WINDS,The Milky Way system as a laboratory to understand the role of galactic winds in galaxy evolution,SIGNED
101040754,PROCESSHETEROGENEITY,Understanding the Processes Underlying Societal Threats using Novel Cluster-based Methods,SIGNED
101040759,SOFTCHIRP,Neural circuits for social communication,SIGNED
101040760,FFHiggsTop,High-precision multi-leg Higgs and top physics with finite fields,SIGNED
101040794,10000 DIGITS,Foundations of transcendental methods in computational nonlinear algebra,SIGNED
101040798,CHEIR,Cargo-towing Highly enantioselective Electro-pumps: unconventional asymmetrIc Readout and transmission of chiral information,SIGNED
101040800,BacterialBlueprint,Deep single-cell phenotyping to identify governing principles and mechanisms of the subcellular organization of bacterial replication,SIGNED
101040811,Distort-to-Grasp,Distorting unconventional superconductivity - A grasp of electronic phases with multiple broken symmetries,SIGNED
101040822,EMANCIPATE,"Understanding and fighting inequity in education: breaking the cycle between socioeconomic disadvantage, low confidence, and resignation.",SIGNED
101040823,ESTABLIS-UAS,Exposing Spatio-Temporal structures of turbulence in the Atmospheric Boundary Layer with In-Situ measurements by a fleet of Unmanned Aerial Systems,SIGNED
101040850,MiCRoARTiS,Microwave Fingerprinting Artificial Molecular Motors in Virtual Isolation,SIGNED
101040854,TMSS,Exploring Life narratives of Violence Among Refugees from Africa’s Great Lakes Region (AGLR),SIGNED
101040858,ArcticWATCH,Early warning of future rapid Arctic sea ice loss,SIGNED
101040876,BAYESIAN P-NETS,A New Bayesian Foundation for Psychometric Network Modelling,SIGNED
101040901,AVATar,Engineering vasoactive probes for brain-wide imaging of molecular signaling,SIGNED
101040907,SYMOPTIC,Symmetry and Optimization at the Frontiers of Computation,SIGNED
101040914,COVIDecode,Interrogating RNA-protein interactions underlying SARS-CoV-2 infection and antiviral defense,SIGNED
101040935,MotLang,Motives and the Langlands program,SIGNED
101040938,GOLEM,Graphs and Ontologies for Literary Evolution Models,SIGNED
101040939,STORIES,Spatial-Temporal Dynamics of Flood Resilience,SIGNED
101040948,WarEffects,The Micro-Level Effects of Civil Wars on Multiple Dimensions of Women's Empowerment,SIGNED
101040951,RADIOGUT,Radial Glia as Neurodevelopmental Mediators Of Gut Microbiota Signals,SIGNED
101040977,3DVasCMD,Development of novel 3D vascularized cardiac models to investigate Coronary Microvascular Disease,SIGNED
101040978,COORDINATE,Which building blocks for coordinating resource distribution are so basic that they manifest even in infancy?,SIGNED
101040991,FermiMath,The Mathematics of Interacting Fermions,SIGNED
101040994,REACHER,Reactive fluids for intensified thermal energy conversion,SIGNED
101040996,BeaT-IT,B Cell Engineering and Tertiary Lymphoid Structure Induction via Biomaterials for Cancer Immunotherapy,SIGNED
101040999,ActDisease,Acting Out Disease. How Patient Organizations Shaped Modern Medicine,SIGNED
101041000,GLITR,Breaking through: The Impact of Turbulence on the Gas-Liquid Interface,SIGNED
101041029,ixAutoML,Interactive and Explainable Human-Centered AutoML,SIGNED
101041040,SAMPDE,Sample complexity for inverse problems in PDE,SIGNED
101041064,BigBayesUQ,The missing mathematical story of Bayesian uncertainty quantification for big data,SIGNED
101041069,ARISER,Access to crop diversity and small farms’ resilience to climate variability in African drylands: The role of seed and information networks,SIGNED
101041074,SPINFIELD,Controlling spin angular momentum with the field of light,SIGNED
101041077,MindTheGap,Quantifying the completeness of the stratigraphic record and its role in reconstructing the tempo and mode of evolution,SIGNED
101041087,SOCIALCRAVING,Towards a social neuroscience of health-related decision-making,SIGNED
101041092,ABYSS,Monitoring megathrust faults with abyssal distributed acoustic sensing,SIGNED
101041097,LIFT,Lightning corona Imaging From a radio Telescope,SIGNED
101041101,IRRITATION,Irritation and Human Sociality,SIGNED
101041109,BOSON,BOosting the knowledge of the Strong interaction from quarkONium :  an advanced simulation framework and beyond,SIGNED
101041110,GROW,GROundWater sustainability and crop production,SIGNED
101041115,CLOSEtoQG,Cryogenic on-chip Levitated Optomechanics for a Spin Entanglement witness to Quantum Gravity,SIGNED
101041118,NanoBubbleBrain,Low frequency nanobubbles-enhanced noninvasive transcranial ultrasound for brain cancer therapy,SIGNED
101041122,ATTRACTE,Atmospheric tracing of Earth's evolution,SIGNED
101041131,BEAMS,Multilayer photonic integration platform for free space optics,SIGNED
101041145,POLICYMETRICS,Econometrics for Macroeconomic Policy Evaluation,SIGNED
101041159,CompExDyn,Complex Exciton Dynamics in Materials: a First-Principles Computational Approach,SIGNED
101041177,DecipherHSV,"Deciphering cellular and viral determinants of lytic HSV-1 infection, latency and reactivation",SIGNED
101041192,PIEZOZYMES,Enzymatic Piezoelectric Composites To Regenerate Redox-Cofactors Driven By Mechanical Sources.,SIGNED
101041201,BryoFit,Selection efficacy at intraspecific and interspecific scales: insights from haplo-diplontic plants,SIGNED
101041206,The B-MIracle,The function of B cells in myocardial infarction-accelerated atherosclerosis,SIGNED
101041207,LACONIC,Next Generation Laconic Cryptography,SIGNED
